title;imdb_rating;viewing_date;personal_rating;children;tmdb_id;original_language;vote_count;vote_average;release_date;original_title;budget;revenue;runtime;imdb_id;production_country;production_countries_number;production_company;production_companies_number;genre;genre_number;director;director_number;producer;producer_number;actor_number
X-Men Apocalypse;7,3;01/10/2016;2;ESMPA;246655;en;4119;6.4;2016-05-18;X-Men: Apocalypse;178000000;543934787;144;tt3385516;United States of America;1;Twentieth Century Fox Film Corporation;6;Science Fiction;1;Bryan Singer;1;Simon Kinberg;2;95
My Dinner with Andre;7,8;26/07/2016;3;none;25468;en;75;7.7;1981-10-11;My Dinner with André;0;0;110;tt0082783;United States of America;1;The Andre Company;2;Comedy;2;Louis Malle;1;none;0;4
Pride and Prejudice and Zombies;5,9;26/07/2016;2;E;58431;en;568;5.4;2016-02-04;Pride and Prejudice and Zombies;28000000;16374328;108;tt1374989;United States of America;1;Lionsgate;6;Romance;4;Burr Steers;1;Sean McKittrick;4;22
Son of Saul;7,6;26/07/2016;1;none;336050;hu;250;7.1;2015-06-11;Saul fia;1000000;1777043;107;tt3808342;Hungary;1;Laokoon Filmgroup;2;War;3;László Nemes;1;Gábor Rajna;2;11
The Immigrant;6,6;26/07/2016;4;none;152599;en;236;6.2;2013-07-03;The Immigrant;16000000;5867686;117;tt1951181;United States of America;1;Kingsgate Films;2;Drama;2;James Gray;1;Christopher Woodrow;4;9
Life;6,7;14/08/2016;4;none;395992;en;1354;6.2;2017-03-23;Life;58000000;93811028;103;tt5442430;United States of America;1;Columbia Pictures;4;Horror;3;Daniel Espinosa;1;Bonnie Curtis;4;15
Irrational Man;6,6;31/08/2016;2;none;282984;en;523;6.2;2015-07-17;Irrational Man;11000000;27391084;95;tt3715320;United States of America;1;Sony Pictures;3;Mystery;2;Woody Allen;1;Letty Aronson;3;39
Camille;7,6;01/05/2016;3;none;22419;en;34;6;2008-04-13;Camille;6000000;0;94;tt0462219;United Kingdom;1;A-Mark Entertainment;1;Comedy;3;Gregory Mackenzie;1;none;0;9
Captain America: Civil War;8,2;01/05/2016;4;ES;271110;en;6349;7;2016-04-27;Captain America: Civil War;250000000;1153304495;147;tt3498820;United States of America;1;Studio Babelsberg;5;Adventure;3;Anthony Russo;2;Kevin Feige;1;100
The Element Of Crime;6,9;01/05/2016;3;none;9063;en;40;6.6;1984-05-18;Forbrydelsens element;0;0;104;tt0087280;Denmark;1;none;0;Crime;4;Lars von Trier;1;none;0;4
The count of monte cristo;7,7;06/05/2016;3;ESMPA;11362;en;410;7.2;2002-01-23;The Count of Monte Cristo;0;75395048;131;tt0245844;United States of America;1;Spyglass Entertainment;4;Action;4;Kevin Reynolds;1;Gary Barber;1;10
The rock;7,4;06/05/2016;0;ESMPA;9802;en;1350;6.9;1996-06-06;The Rock;75000000;335062621;136;tt0117500;United States of America;1;Hollywood Pictures;2;Action;3;Michael Bay;1;Jerry Bruckheimer;2;24
The call of cthulhu;7,4;28/03/2016;3;ESMPA;20981;en;39;6.9;2005-01-01;The Call of Cthulhu;50000;0;47;tt0478988;United Kingdom;1;HPLHS;1;Horror;3;Andrew Leman;1;none;0;6
Little Dieter Needs To Fly;8,1;28/12/2015;4;none;57976;en;24;7.9;1997-12-01;Little Dieter Needs to Fly;0;0;80;tt0145046;France;3;Werner Herzog Filmproduktion;3;Documentary;1;Werner Herzog;1;Lucki Stipetić;1;3
King kong;7,2;28/03/2016;1;ESMPA;254;en;2086;6.6;2005-12-14;King Kong;207000000;550000000;187;tt0360717;New Zealand;3;WingNut Films;4;Adventure;3;Peter Jackson;1;Jan Blenkin;4;33
Once upon a time in high school;7;28/03/2016;3;none;49214;ko;17;6.9;2004-01-15;말죽거리 잔혹사;0;0;116;tt0390205;South Korea;1;Sidus Pictures;1;Drama;4;Yoo Ha;1;Jong-yun No;1;9
The Look of Silence;8,4;17/09/2015;4;none;267480;en;67;7.9;2014-08-30;The Look of Silence;0;153516;103;tt3521134;Netherlands;10;Making Movies Oy;4;Documentary;1;Joshua Oppenheimer;1;Signe Byrge Sørensen;1;8
De ce eu;7,6;28/03/2016;2;none;317463;ro;5;5.6;2015-02-27;De ce eu?;1370220;0;125;tt4016994;Romania;1;Libra Film;3;Thriller;3;Tudor Giurgiu;1;Oana Giurgiu;1;7
Comme un avion;7;28/03/2016;2;none;343702;fr;30;6.4;2015-06-10;Comme un avion;0;0;105;tt4163644;France;1;Canal Plus;3;Comedy;1;Bruno Podalydès;1;none;0;21
The Assassin;6,5;03/04/2016;2;none;67080;en;2;6.3;1994-02-26;Sha ren zhe Tang Zhan;0;0;78;tt0108097;Hong Kong;1;none;0;Action;3;Siu-hung Chung;1;none;0;3
